id,category,city,state,fetched_at
412,air conditioning repair service,downers grove,Illinois,2024-12-03 18:19:26.4+00
413,baby store,downers grove,Illinois,2024-12-03 18:22:26.01+00
414,beauty salon,downers grove,Illinois,2024-12-03 18:26:13.973+00
415,construction company,downers grove,Illinois,2024-12-04 10:53:19.182+00
416,dental clinic,downers grove,Illinois,2024-12-04 10:57:29.152+00
417,dollar store,downers grove,Illinois,2024-12-04 10:59:02.512+00
418,family law attorney,downers grove,Illinois,2024-12-04 11:00:47.997+00
419,fitness center,downers grove,Illinois,2024-12-04 11:01:37.938+00
420,funeral home,downers grove,Illinois,2024-12-04 11:01:54.831+00
421,general practice attorney,downers grove,Illinois,2024-12-04 11:05:09.589+00
422,gutter cleaning service,downers grove,Illinois,2024-12-04 11:06:03.614+00
423,hairdresser,downers grove,Illinois,2024-12-04 11:06:31.156+00
424,insurance company,downers grove,Illinois,2024-12-04 11:09:08.71+00
425,law firm,downers grove,Illinois,2024-12-04 11:12:17.925+00
426,liquor store,downers grove,Illinois,2024-12-04 11:12:40.447+00
427,mechanic,downers grove,Illinois,2024-12-04 11:13:28.638+00
428,supermarket,downers grove,Illinois,2024-12-04 11:14:51.363+00
429,tire shop,downers grove,Illinois,2024-12-04 11:17:11.751+00
430,wedding venue,downers grove,Illinois,2024-12-04 11:17:34.612+00
431,window cleaning service,downers grove,Illinois,2024-12-04 11:19:57.89+00
432,fitness center,azusa,California,2024-12-04 13:13:07.221+00
433,air conditioning repair service,azusa,California,2024-12-04 13:16:16.823+00
434,baby store,azusa,California,2024-12-04 13:18:50.465+00
435,beauty salon,azusa,California,2024-12-04 13:20:37.583+00
436,construction company,azusa,California,2024-12-04 13:22:06.26+00
437,dental clinic,azusa,California,2024-12-04 13:23:29.315+00
438,dollar store,azusa,California,2024-12-04 13:25:01.845+00
439,family law attorney,azusa,California,2024-12-04 13:26:46.296+00
440,funeral home,azusa,California,2024-12-04 13:27:14.983+00
441,general practice attorney,azusa,California,2024-12-04 13:29:07.154+00
442,gutter cleaning service,azusa,California,2024-12-04 13:29:36.714+00
443,hairdresser,azusa,California,2024-12-04 13:30:36.453+00
444,insurance company,azusa,California,2024-12-04 13:32:12.649+00
445,law firm,azusa,California,2024-12-04 13:32:59.962+00
446,liquor store,azusa,California,2024-12-04 13:33:58.054+00
447,mechanic,azusa,California,2024-12-04 13:35:02.464+00
448,supermarket,azusa,California,2024-12-04 13:35:35.317+00
449,tire shop,azusa,California,2024-12-04 13:36:07.427+00
450,wedding venue,azusa,California,2024-12-04 13:37:13.081+00
451,window cleaning service,azusa,California,2024-12-04 13:40:32.311+00
452,air conditioning repair service,cypress,California,2024-12-04 13:41:30.637+00
453,baby store,cypress,California,2024-12-04 13:42:17.301+00
454,beauty salon,cypress,California,2024-12-04 13:42:50.801+00
455,construction company,cypress,California,2024-12-04 13:44:51.242+00
456,dental clinic,cypress,California,2024-12-04 13:45:49.513+00
457,dollar store,cypress,California,2024-12-04 13:46:55.172+00
458,family law attorney,cypress,California,2024-12-04 13:47:48.632+00
459,fitness center,cypress,California,2024-12-04 13:49:21.131+00
460,funeral home,cypress,California,2024-12-04 13:49:41.443+00
461,general practice attorney,cypress,California,2024-12-04 13:50:29.152+00
462,gutter cleaning service,cypress,California,2024-12-04 13:50:53.211+00
463,hairdresser,cypress,California,2024-12-04 13:51:21.782+00
464,insurance company,cypress,California,2024-12-04 13:52:04.249+00
465,law firm,cypress,California,2024-12-04 13:52:40.249+00
466,liquor store,cypress,California,2024-12-04 13:52:59.787+00
467,mechanic,cypress,California,2024-12-04 13:53:32.688+00
468,supermarket,cypress,California,2024-12-04 13:54:16.743+00
469,tire shop,cypress,California,2024-12-04 13:54:47.679+00
470,wedding venue,cypress,California,2024-12-04 13:55:34.608+00
471,window cleaning service,cypress,California,2024-12-04 13:56:50.914+00
472,air conditioning repair service,florin,California,2024-12-04 13:57:46.457+00
473,baby store,florin,California,2024-12-04 13:58:30.568+00
474,beauty salon,florin,California,2024-12-04 13:58:54.848+00
475,construction company,florin,California,2024-12-04 14:03:16.384+00
476,dental clinic,florin,California,2024-12-04 14:05:32.109+00
477,dollar store,florin,California,2024-12-04 14:06:11.956+00
478,family law attorney,florin,California,2024-12-04 14:09:52.664+00
479,fitness center,florin,California,2024-12-04 14:10:16.128+00
480,funeral home,florin,California,2024-12-04 14:11:06.07+00
481,general practice attorney,florin,California,2024-12-04 14:11:41.223+00
482,gutter cleaning service,florin,California,2024-12-04 14:12:05.417+00
483,hairdresser,florin,California,2024-12-04 14:12:36.62+00
484,insurance company,florin,California,2024-12-04 14:13:17.225+00
485,law firm,florin,California,2024-12-04 14:13:46.199+00
486,liquor store,florin,California,2024-12-04 14:14:17.136+00
487,mechanic,florin,California,2024-12-04 14:14:49.874+00
488,supermarket,florin,California,2024-12-04 14:15:27.883+00
489,tire shop,florin,California,2024-12-04 14:16:01.715+00
490,wedding venue,florin,California,2024-12-04 14:16:29.933+00
491,window cleaning service,florin,California,2024-12-04 14:17:18.412+00
492,air conditioning repair service,coral gables,Florida,2024-12-04 14:19:20.516+00
493,baby store,coral gables,Florida,2024-12-04 14:19:53.346+00
494,beauty salon,coral gables,Florida,2024-12-04 14:20:31.903+00
495,construction company,coral gables,Florida,2024-12-04 14:21:32.264+00
496,dental clinic,coral gables,Florida,2024-12-04 14:21:54.73+00
497,dollar store,coral gables,Florida,2024-12-04 14:23:03.823+00
498,family law attorney,coral gables,Florida,2024-12-04 14:23:37.548+00
499,fitness center,coral gables,Florida,2024-12-04 14:23:58.299+00
500,funeral home,coral gables,Florida,2024-12-04 14:24:26.094+00
501,general practice attorney,coral gables,Florida,2024-12-04 14:25:11.657+00
502,gutter cleaning service,coral gables,Florida,2024-12-04 14:25:33.802+00
503,hairdresser,coral gables,Florida,2024-12-04 14:26:10.35+00
504,insurance company,coral gables,Florida,2024-12-04 14:26:37.86+00
505,law firm,coral gables,Florida,2024-12-04 14:27:07.598+00
506,liquor store,coral gables,Florida,2024-12-04 14:27:40.917+00
507,mechanic,coral gables,Florida,2024-12-04 14:28:21.502+00
508,supermarket,coral gables,Florida,2024-12-04 14:28:59.983+00
509,tire shop,coral gables,Florida,2024-12-04 14:29:32.603+00
510,wedding venue,coral gables,Florida,2024-12-04 14:30:08.632+00
511,window cleaning service,coral gables,Florida,2024-12-04 13:31:23+00
512,air conditioning repair service,jeffersonville,Indiana,2024-12-04 14:31:27.409+00
513,baby store,jeffersonville,Indiana,2024-12-04 14:32:13.825+00
514,beauty salon,jeffersonville,Indiana,2024-12-04 14:39:12.428+00
515,construction company,jeffersonville,Indiana,2024-12-04 14:39:35.06+00
516,dental clinic,jeffersonville,Indiana,2024-12-04 14:40:06.191+00
517,dollar store,jeffersonville,Indiana,2024-12-04 14:40:24.327+00
518,family law attorney,jeffersonville,Indiana,2024-12-04 14:40:55.499+00
