city,state,state_abbr,county_fips,county_name,lat,lng,zips,id
Downers Grove,Illinois,IL,17043,DuPage,41.7949,-88.0172,60515 60516,1840011404
Florin,California,CA,6067,Sacramento,38.4832,-121.404,95823 95828,1840017581
Cypress,California,CA,6059,Orange,33.8171,-118.039,90630,1840019327
Jeffersonville,Indiana,IN,18019,Clark,38.3376,-85.7026,47130 47131 47132 47133 47134 47144 47190 47199,1840008642
North Bethesda,Maryland,MD,24031,Montgomery,39.0393,-77.1191,20895 20896 20814 20817 20851 20852,1840031494
Azusa,California,CA,6037,Los Angeles,34.1386,-117.912,91702 91010,1840019226
Coral Gables,Florida,FL,12086,Miami-Dade,25.7037,-80.2715,33146 33143 33134 33158 33156 33114 33206 33234,1840015147
Chesterfield,Missouri,MO,29189,St. Louis,38.6589,-90.5803,63017 63005 63006,1840007446
McLean,Virginia,VA,51059,Fairfax,38.9436,-77.1943,22046 22101 22043 22102 22067 22103 22106 22107 22108 22109,1840006018
St. Louis Park,Minnesota,MN,27053,Hennepin,44.9488,-93.3649,55426 55416,1840008935
Mooresville,North Carolina,NC,37097,Iredell,35.5847,-80.8266,28117 28115,1840016215
